,source,target
302953,so you think you could out-clever us french folk... ...with your silly knees-bent running about advancing behavior.,you think you could outsmart us the french with their squat running running?
264863,price-- a kiss on the bum.,price: a kiss on the back.
499670,in school on the phone when max and max are talking about school and now you're stealing from behind the counter for sex with a favorite movie star.,you're everywhere. pastry school on the phone with max talking about pastry school and now here at the counter talking about elder sex with a beloved star of stage and screen.
574524,then we don't need this asshole.,so we don't need this one.
425540,maybe this buffoon will bring us luck.,maybe this turkey will bring us some luck.
291166,take no prisoners destroy them,take no prisoners.
470815,i got in trouble again and you killed him.,i got myself into trouble again and you... killed him.
480335,he is all... he is stabbed over.,he was all stabbed.
298326,you bullshitting me?,are you kidding me?
64910,your mother is in a mental institution?,your mother resides in a mental institution? is that right?
203565,you are the one who exposed her incompetence and got her shit-canned.,you're the one who revealed her incompetence and got her into trouble.
532320,traitors collaborators like your friend the doctor.,collaborators like your friend doctor.
386952,these bandits were dumber and better armed than all the soldiers he had encountered in the past but walegrin had no time to consider the discovery.,these outlaws were better armed and bolder than any the soldiers had encountered before but walegrin had no time to consider this discovery.
210119,how many times do i have to tell you not to leave garbage in the hallway?,how many times do i have to tell you - don't leave recyclin' in the hallway.
228722,"""this is a disease in which women make up exaggerate and repeat all sorts of nonsense that are only capable of a disturbed imagination sometimes becoming epidemic and infectious.""","""this disease in which women invent ( ) exaggerate and repeat all the various absurdities of which a disordered imagination is capable has sometimes become epidemic and contagious."""
40272,his name is robert hawkins... and he has a nuclear bomb.,his name's robert hawkins... and he's got an atomic bomb.
399745,different kinds of naughty women.,all sorts of loose women.
443484,without your hair you look like shit.,it just looks like that 'cause you got no hair.
141777,i give you the boot and motherfucking rally!,and so there was a boot and rally.
442393,uh sam gets made they kill him.,uh sam gets caught and then he's killed.
519470,he's got no nerve.,she won't have the nerve.
132803,his fingers left my cleft and a heartbeat later his cock was filling me the flared crown stretching sensitive tissues.,his fingers left my slot and for a moment later i was filled by his hive the enlarged crown extending into sensitive tissue.
315901,time to de-gay the park!,it's time for us to get rid of the park!
85775,well the government i proudly served for years... .... has locked me up with the scum of the earth.,the government i served proudly for years has locked me up with the dirt world.
394542,holy shit look at these guys!,holy cow will you look at those guys!
451304,i've been to hell thanks.,i've been to hell before thanks.
421380,percy's freaking out because i've killed two of his black boxes.,apparently percy's freaking out because i ruined his two black boxes.
429889,what the hell is it with you and busting chick's noses?,what's the matter with you you keep breaking girls' noses?
464125,doomed to perish under attack by hitler's guns...,the doomed city of warsaw pounded by hitler's guns...
182283,"for seasons ""the love boat"" stank.","after series ""the love boat"" stood for nothing."
226436,you're an ugly wilson.,you're a bad wilson.
269034,spanish sons of bitches will give you twenty.,and the motherless spaniards'll give you twenty!
70421,that man ran this shithole of a town like a fine watch.,this guy drives this bad town like a first-class watch.
85625,sorry did you want more on your neck?,i'm sorry did you want more neck?
206191,we won't have our plans disrupted by such lowly creatures like you!,we don't want our plans to disrupt such low creatures as you do!
543514,they're an eyesore.,they are eyewear.
13760,he always complained about money and shit.,he kept complaining about money and everything.
11228,there's a guy in his underwear that's fucking around peeing on people.,there's a guy in the underwear who's running around.
496961,you could be shot or something.,you could've been maybe shot or something.
391006,why in hell did he do that?,why did he do that?
157501,riots are always bloody.,rebellion is ever bloody.
281311,all right then you go ahead and make something all organic and healthy and vegetarian and shit and i'll pick out a movie for us to watch.,okay so you can do something disgustingly distressing and healthy and i'll pick out the buffalo.
536313,i don't play all that stupid richie-poorie crap like the rest of those snobs.,i'm not playing those poor-rich guys like the rest of these pats.
493494,my father bought me a punching bag but i beat him up in the week.,my father got me a punching bag which i demolished in a week.
91524,they even got a special map that lets you choose who you want to dump your poop on.,there's even a special map for you to choose where you send your charge.
170545,faster you black bitch! faster!,faster black skin faster!
557420,and you willhave no new passions and no new thoughts and no new travels and when you die you'il be completely forgotten.,you will no longer experience passion new ideas you won't travel and when you die no one will remember you.
283424,and every day i wear that same damn shirt...... a classic one-colored shirt.,and i've worn the same shirt every damn day... a solid oxford button-down.
156870,kidnapping a manticoran princess!,princess of manticore abducted!
393897,damn he might even have some kind of historical joke to use.,hell he might even have a historical anecdote to put it all in perspective.
435152,i thought you knew about this... and where the fuck did i know?,i thought you knew. it's not up to me. how do i know?
53376,oh shit.,oh man!
259394,you treat that lesbian thing a little too far.,you're taking this lesbian thing a little far.
535079,or firebomb the newspaper or both!,or burn a newspaper or both!
546794,shut up!,stop talking!
21832,give me six balls of vulcan...... and give my friend the whole outfit.,let me have half a dozen of those vulcan d-tens... ...and set my friend up with the whole shmeer.
133384,all right i'll show you how to cut a bowl out of your tummy.,alright i'll show you how to make a bowl from wood.
4301,easy. ginger let's fuckin' go!,ginger let's get out of here.
251427,if i marry her all of you could be dead.,if i marry her you can all be stiff.
204102,don't stab me!,don't spear me!
45257,i pointed it and shot it in one motion.,i turned and fired with a single motion.
530784,sometimes that means you have to do shit you don't want to do.,sometimes it means you have to do things you don't want.
334974,what the fuck do you mean cops?,what do you mean cops?
83358,you would be useless.,that'd be no use.
44612,because i'll tell her the hard truth about her old-fashioned virginity.,'cause i'm gonna confront her with the cold hard truth of her spinsterhood.
462690,get off me! get off!,let go of me!
168864,that'll kill you. can't live like this.,i can't live like this.
453975,shoot now!,fire now!
181264,jimmy's got no balls!,jimmy ain't got the guts!
488805,he must be insane he thought it's funny,it's crazy but of course he can think it's funny.
106921,"i believe she said ""the bubbles are pink jackass.""","she said ""bubbles are pink donkey."""
351039,friends with occasional sex.,friends with the occasional bonking.
375025,rahl didn't kill the children of this town because you,rahl didn't kill the kids from this town.
487731,that's pathetic for you too shannon.,that's low shannon even for you.
115721,i'll have you arrested.,mr. hunter i'll have you arrested.
160823,my friend tiberius jefferson is not the man-whore killer. homo!,my friend tiberius jefferson isn't the murder of men's shuffle.
42559,he tore my clothes off tore them up...... and threw them in the fire.,he tore off my clothes shredded them... ...and threw them into the fire
550975,the fact that he wears a badge doesn't mean he can't shoot one of them.,just 'cause he wearing a badge doesn't mean he won't shoot one.
504594,give my regards to your new pals at that whorehouse you're sitting in!,say hello to your new friends in the shed where you're sitting right now!
143913,assholes.,cunts!
375311,i prefer a dark pit of death than your life.,better death's dark dominion than life at your side.
113090,maybe he'll kill himself. maybe he won't.,maybe it will maybe it won't.
545458,you're an unreliable type.,very unreliable type.
317005,now mr. bloom why in god's name did you want to come back here and shut up?,now mr. bloom why in the world would you... ...want to come back hereand give yourself up?
13938,it looks like i've gotten infected with some portable sex disease.,i appear to have contracted a sexually transmitted disease of some kind.
353313,no i don't want any goddamn salad.,i really don't want a salad.
81607,you're welcome to my dirty jock.,look at my dirty laundry.
385987,the guy smelled like an ashtray.,he smelled like an ashtray.
103289,death to videodrome!,the death of the videodrome!
266875,i dropped the flaming head into the robed and headless body.,i dropped my flaming head on the headless body in a long robe.
311230,are you going to sit here drinking tea? erik dammit.,do you want me to sit here and drink tea?
135801,the usc county hospital was the closest emergency room where i immediately realized that if you only get there with a narcissistic head,county usc was the closest emergency room and i quickly realized that if you find yourself there with nothing more than a bump on the head
195115,god is always evil for humans.,god is always evil to man.
363964,the bell will ring only when the pope dies.,bells ring like this only when a pope dies.
445886,what was that realizing that your plan totally sucked?,that's when you realized your plan was completely wrecked?
89154,the witch-doctor shook convulsively and closed his eyes.,the whisperer shook and closed his eyes.
71141,he'll be dead in five or six hours.,five to six hours from now he'll be dead.
131189,oh shit!,(sighs) jesus!
308848,i still haven't eaten shut up!,i haven't even ate yet.
39738,you drive me crazy.,i'm crazy about you.
565916,woman's blood.,xx. female blood.
530839,i hate having you here making my life miserable but don't want to lose you to some bug.,i don't like you ruining my life here but i don't want to get any of the microbes out there.
515995,your brain is a weapon and an instrument and the library all in one.,your brain is a weapon and a tool and a library all wrapped up into one.
85245,you know how she told you about that kick-ass worm shit she's been using on her tomatoes? yeah.,you know what she told you about the great worm she's using
175852,the world hated him he hated the world everyone who laughed at him the women he seemed to repel all...,the world hated him and he hated the world all of them the ones who laughed who pointed the women who found him repulsive all the no.
558210,he's willing to give us the body of transgender to an autopsy under the condition that none of this is going to happen again.,he's willing to give us the body of a transgenic and autopsy work provided nothing like this ever happens again.
338196,traveling by ship you damn well better live off rats if you don't wish to cause such a panic on board that they search your coffin.,by boat travel it's a hell of a lot better to live out of rats if you don't want to wake up on the deck to look for your coffin.
438561,rotten to the last screw.,rotten to the gunnels that thing.
151722,thank the loser for eloquence dish out the bad news thank the loser for her eloquence.,to thank the defeated for eloquence to spill the bad news thank the defeated for eloquence.
174317,okay well get what you can out of her and kick her loose.,okay get what you can and then let her go.
572786,i'm gonna hit the sack.,i'm going to bed.
361290,i my friend am a certified vagina miner!,me my friend i'm a certified quitter.
541089,now come out with your hands up...... or you'll all die.,come out immediately with youe hands up... ...or you will all die here--here's another one.
364522,and i can swear that your son will face the death penalty for an eight-fold murder if you don't turn around and take his place.,this is deputy u.s. marshal annie frost and i can promise you your son will face the death penalty for eight counts of murder unless you turn yourself in and take his place.
138762,that everything else could be filthy and corrupt... ...but that a man didn't have to be.,that everything else may be dishonest and corrupt...... but you don't have to be.
374590,i know your job is to give me advice but can't we just keep this professional bullshit out of the way?,i know it's your job to give me advice but can we save the shop talk?
560473,we will always be crazy and we will never be like normal people!,we'll always be freaks and we'll never be like other people!
177316,"""i got something for you you cheating sumbitch "" eddie heard his mouth say and watched his finger pull the trigger of the automatic twice.","""i have something for you pee-pee "" eddie heard saying watching his index finger double the trigger of an automatic pistol."
364451,i don't know this crazy kid slang.,i can't keep up with this crazy teenage slang.
187526,during your fornication with those devils - did you taste even for a brief moment their blood?,during your infidelity with the demonic women - did you for one instant taste of their blood?
347039,it's great that you're fat.,it is so great you're here. mm.
66449,you'll freeze to death.,you'd freeze to death.
366220,you know usually i don't do this so fast but the last guy with this he sucked in bed.,i don't usually go that fast but the last one was terrible in bed.
419111,kaos looked wretched.,kaos looked devastated.
333419,you're all so tedious with your identical faces.,you're all tired with your faces.
575094,this shit is not a game.,this is not a game.
479314,so let me get this straight: i took women to the hotel but i didn't fuck them every time.,so let me be clear: i took women to the hotel but i didn’t always nail them.
555902,occupy your damn time.,take your time.
429001,i'll make you miserable.,i'll make you unhappy.
517772,we made it. we were as nervous as shit.,which we did feeling nervous as hell.
553883,no he wore anabellie scorillie's ass out in jungle fever baby.,"in ""jungle fever "" he was still banging anabella scorli."
554797,"he said ""suck my dick!""","he said ""cut my wire!"""
529285,no. i either leave or they die.,no i've either disappeared or died.
524546,second of all don't ever touch me.,second never touch me.
114902,i'm sick of this fucking piece of space.,i'm sick of this whole turd-burp end of the universe.
312630,he's a fucking dead man.,and the guy's already dead.
113054,i got up early you didn't wake up and i fucked them for you.,i got up early before you woke up and i washed it.
393468,we had the sex karen.,we slept together karen.
516336,both his legs like hamburger shredded to shit.,both legs chopped up like meat at hamburgers.
148214,she's my friend who has to put up with assholes like you.,she's my friend and she's going to keep it 'cause she's got to.
314332,huh. oswald was a fag.,oswald was just a pawn.
4598,tape her.,tape.
539406,now most of you gumps get to go home every night.,most of you guys are going home every night.
516054,a massacre my daughter barely fucking escaped.,a massacre that my daughter just eluded.
415998,you're the brain and you're... no brain?,you're the brains and you're... not the brains?
454100,we could burn the house and run.,we could set fire to the house and run away.
294840,try to have sex with me.,trying to sleep with me.
182811,killing is their livelihood.,death is what they do for a living.
213586,this is cottage porn.,it's a cottage horror.
303844,eat your flesh right off.,they'll eat your skin.
340141,son menopause is when the stork that brings babies gets shot by drunken hunters.,son menopause is when the kid who wears kids gets shot by drunken hunters.
528894,shut up about eddie! lt was nerves.,eddie was on his nerves.
384249,we're in a flying fucking bomb!,we're a flying bomb!
340060,and if you fuck up it'll be on your head!,and if you do it'll be on your head.
522397,we'll seal off the cemetery from the vampires find davina stop marcel and finish the ritual once and for all even if i have to slit davina's throat myself.,we lock up vampires find davina stop marcel and finish this ritual once and for all even if i have to cut davina alone.
456799,no shit.,hell no.
557603,i'm in a tree with a man who talks like monkeys.,i'm in a tree with a man who talks to monkeys.
164448,you look fat in it.,it looks fat.
121819,i like the ones where you shoot aliens.,i like games where you shoot intruders.
89944,i prefer a chaotic world a wicked man.,i would rather have a chaotic world tainted by man.
2734,there's a black veil over his privates!,he's got a black veil over an intimate match!
503141,will you shut up and listen to me?,will you be quiet and listen to me?
452451,are you out of your fucking mind?,have you lost your mind?
537823,i kill bluto.,it killed blut.
516017,i love ben franklin girl... ...and i could listen to you talk about his stinking ass all day long.,i love ben franklin girl and i could have listened to you talk about his whirlwind butt all day.
203148,you're a phony celebrity.,you're just a made celebrity.
131791,that was a white man's finger on the trigger.,the trigger finger was white.
452305,and ripping out the goddamn window frames and eating them!,and rip the window frames and eat it!
75681,the bullet in that corpse is from your rifle.,look the slugs in that dead guy they came from your rifle.
284666,i know i fucked up too okay?,i know i screwed up okay?
66183,do your worst. you can stick that incredibly long needle in my eye i wouldn't tell you anything.,actually you can pierce my eye with that incredibly long needle and i wouldn't tell you anything.
409192,i did not doubt that the new zionists would monitor us with optical sensors on sniper rifles whenever they could pull the trigger and kill one at a time.,i had no doubt that new zionists had us in their rifle sights and could pull the trigger if they chose pick us off one by one.
116329,you like to be dirty?,do you want to stay dirty?
98644,your father screwed you.,daddy ruined you.
543379,you sit there like a fucking retard.,you're sitting there like a little something.
225512,i'm a hopeless cripple...,i'm a helpless cripple...
266403,not in front of the fucking kid.,not before the kid.
364191,like a car or even these balls.,a car or even this kind of ball.
389169,do you know how many men i've had sex with?,you know how many guys i slept with?
359394,you're crazy!,you're mad!
573831,"""you're still my demon and you have to listen to me!""","""demonologists can be any age you're still my demon and you have to do as i say!"""
476672,"""you'll get your answer tomorrow when the next bastard gets his mail"".","""you'll get your answer tomorrow when he gets his mail."""
340461,i warned wayne about the bastards.,i warned wayne about them little black boxes.
117170,"at least until he got tangled up with the damn guards. ""","at least until the bloody guards caught up with him."""
250886,"""a dick move""?","""cheat""?"
397623,this movie is gonna be a fucking bomb.,this movie is gonna be fucking huge.
60079,yeah. your left damn it!,your left hand.
375463,it sucks that there was a stabbing.,it's too bad there's been a stabbing.
90727,and remember the godless witch on the west wing.,and don't forget the wicked witch of the west wing.
214954,took the man's wallet and the woman's necklace then... shot them both.,the man took his wallet and his wife's necklace.
149864,i've only got my own bloody little office.,now i have my own little office.
574027,ready or not beloved ass let's go!,ready or not butt love here we come!
257543,maybe somebody should lick it.,someone should lick it. just in case.
462949,if the world is shit you have nothing to lose.,once you realize the universe sucks you got nothing to lose.
469175,what if he hangs himself in a cell?,what if he hangs himself in prison?
199232,nice letter little dick.,nice letter raghead.
522207,i don't like you anymore.,i don't like myself anymore.
509791,he took both of us in the same minute he came out of those doors and followed his battered penis all the way to pompano beach.,he wrote the both of us off the minute he walked out that door and followed his boner all the way to pompano beach.
361976,it all seems logical to commit suicide right?,the logical signs point to suicide don't they?
231076,you're a joker.,you're quite a joker.
336841,they're sending the cavalry they're sending the whole fucking world.,they send the cavalry they send the whole world.
566794,shut up guys. don't let them hear us.,quiet everyone! don't make a noise now!
53608,with the two motherfuckers that guard me on the day of the night.,i get these two pricks watching me night and day.
12393,janet reno after a safari or the fat guy from my name is earl.,"janet reano after visiting a safari or with that spy from ""my name's earl""?"
303143,as soon as it was dark several dozen fires burned in which the black men had dried their dried meat and ate the dough from the tuber's maneye dough which they plucked from the receptacles of their fingers.,with the coming of darkness a few scores of camp-fires blazed at which the negroes roasted dried meat and ate a dough of manioc roots picking it out of the utensils with their fingers.
358970,stay here you son of a bitch!,stay there you mother! hey!
511225,i was frightened too and i told myself i was a fool to be frightened because what was i frightened of?,i was also scared and i thought i was crazy to be scared for what should i be afraid of?
529379,he swings a sword like a girl with palsy.,he wipes his sword like an armored girl.
70847,"""she's just a slave "" said targo.",“but she is only a slave ” said targo.
58738,if not i am warning you get off my back!,if you don't i'm warning you-- leave me alone!
422940,not just wonderful racists like you have everything they want.,it's not only gorgeous lechers like you that have what it takes.
300107,even you must realise how foolish it is to be king without a kingdom.,even you know that a king falls without a kingdom.
257995,i bludgeoned his death.,i staged his death.
273799,well i'm too young for this shit. you know?,well i'm too young for that.
180039,not a fucking hotel.,"not ""kurwa"" hotel."
398309,that's not fucking funny.,it's not funny.
457499,i'm gonna drag you... and your dirty laundry out on the street.,i'm going to expose you and your spiteful washing machine on the street.
268621,i'll get my crap.,i'll get my stuff.
358742,like i said you're fucked.,well like i said you're buggered.
419634,his brain's swelling!,- brain otéká him!
552199,and you i don't wanna fuckin' die of old age before i get there.,i don't want to die before we get there so move it!
325566,when jude came back and sat down to supper sue seemed moping and miserable.,when judah returned and seated himself for dinner sue felt indifferent and unhappy.
341436,god damn that's good.,god it's okay.
482875,peace out losers.,peace be with you lamas.
4945,yeah by killing our friend.,yeah killed our friend.
572594,the crumb is all right we have to hand it to matter- youthful delinquents and grandparents who are so stupid they don't even know their baby is pregnant.,the mite he's okay we have to turn him over to a mother who's goin' to juvie and grandparents who are so clueless they didn't even realize their own kid was pregnant.
81603,i'd ask him myself but i'm not having sex with him.,i'd ask him myself but i don't sleep with him.
227820,me too nigga. what's up?,yeah me too one black guy.
373431,shit. get inside.,get in there.
85603,"i'm on the motherfucker. ""go back in there chill them niggers out... ""and wait for the cavalry which will be coming directly.""",for everything i sweat go back you'll all be calm and wait for the cavalry which is already on its way.
282217,you're not gonna fuckin' believe it frank.,you're not gonna believe this frank.
367332,and look at these... breasts and...,these arms and your belly and look at... pecs and...
223091,i'm gonna love to make love to her,i'm going to love her.
248623,maybe they stuck tasers on his balls and beat him mercilessly with a rubber hose.,maybe they gave him electroshocks and beat him hard with a rubber hose.
240374,you will be slaughtered and enslaved in the court of the heart of the hearts of queens all of you and fight!,the abused and enslaved in the red queen's court all of you stand up and fight!
463218,i hope to god somebody will stick up for her if some asshole ever does her that way.,i hope somebody messes up for her too when some punk can try something like that on her.
328677,you could've shut your mouth cooked and made as much money as you ever needed.,but you couldn't shut up cook and make more money than you could spend.
544173,men on this island would like to shoot that son of a bitch.,men from the island would have blown it off.
349866,"""we should have searched you and tradition be damned.""","""we should have inspected you from the beginning and the hell with a tradition!"""
18729,i want to have jenkins as a sock.,i want to wear jenkins like a sock.
281629,dad what the hell are you doing?,daddy what are you doing?
235247,i can't think with you crying like a little bitch.,i can't think when you sound like a little girl.
149002,damn thandi think about it!,goddamit thandi think about it!
68534,i hear a throat begging to be cut.,i hear a throat begging cut.
275246,you took him to death.,you bullied him to death.
297626,and i've come to make your life a living hell.,and i came here to make a living hell out of your life.
52489,i don't know; probably when we told her she's a horrible person and nobody likes her.,i don't know. i guess when we told her she was terrible and nobody really liked her.
286773,hey if george michael doesn't have to give up butts why should i?,hey if george michael doesn't have to give up why should i?
449855,all right with this arranged thing on your wedding night you'll finally be sleeping with someone on the first date. up your bum!,okay so this means that on your wedding night you're going to sleep with someone on your first date.
360546,how do you know that bastard won't shoot you he won't keep the money and the valuable jewellery / masterpieces / securities?,how do you know the bad guy won't shoot you keep the money and the valuable jewels/masterpiece/ bond certificate?
145835,"hey have you seen ""drag me to hell""?","did you see ""get me to hell""?"
339614,rand was insane.,rand went mad.
576045,damn! thanks.,thank you.
287335,you no bully mort no more!,you will no longer bully morty!
330120,fuck!,kurwa!
208155,he looked mad as a wet hen.,he looked as sullen as a wet hen.
562843,i should probably shut up.,i should have kept my mouth shut.
160877,let us show these mortal worms what evil truly means.,let's show them what evil really means.
554957,tom's junk!,tom's packin'!
566489,you've got to be kidding. dick:,you gotta be kidding me.
243367,"""a fool like you jack i've never seen before in my life - you'll win everything.","""i never see such a feller as you jack; you win everything."
148762,women can't be trusted.,you can't trust women.
316055,it's like you're writing a puzzle...... except in the case of a ship's picture or an anchor we get proof...... that ocampo is a killer.,like doing a puzzle except instead of revealing a shipwreck or a kitten we'll get our proof that ocampo is the killer.
218488,i don't know what that bastard shark's going to do with it.,i don't know what the shark's gonna do.
72965,no one gives a fuck about what you did.,no one cares what you've done.
263923,i figured he was part of that plot so i told him to shove it up his ass.,he asked me where i stashed the evidence. i figured he was part of the conspiracy so i told him where he could stick it.
395243,now get the fudge out of my house!,now get out of my house.
17232,no one wants to see the kurd.,no one wants to visit kurd.
261296,if you're gonna say that you've always been secretly gay for me everyone always just kind of assumed it.,if you say you've always been secretly in love with me everyone has always suspected that.
10824,isn't this foolish?,isn't that crazy?
340996,you got three fucking seconds a'ight?,you have... you have three seconds okay?
273730,i think you're lazy.,i think you're being lazy.
114016,i've been a fool pearl.,i was crazy pearl.
477710,he wishes to have a savvy ignorant sons; if they start to be angry here and there he's sharp enough but he's a loving father -- mr john certainly is a loving father.,he wishes his boys to be active and hardy; and if they misbehave can give them a sharp word now and then; but he is an affectionate father--certainly mr. john knightley is an affectionate father.
574839,i'm not gonna let you die like an old boy.,trust me i won't let you die a bachelor.
488828,what the hell kind of torture chamber you running here?,what kind of torture chamber do you have here?
17064,are you out of your mind?,have you lost your mind?
397302,perhaps the military possesses a whole damn arsenal of all sorts of genetic killers creatures that are composed of the dna of different animals.,maybe the army's got an entire goddamned division of geneticists creating biological fighting machines man-made monsters designed to slaughter and terrorize creatures stitched together from the dna of half a dozen animals.
98260,that's the smell of the damn charrida.,the stench of that frelling charrid.
261791,anita ferrie she is a dead year a natural death.,anita ferri is dead a year natural cause.
467202,god damn it!,bloody hell!
65021,me? i figured you might feel less threatened if you thought i was capable of sex with a woman.,i assumed you'd feel less threatened if you thought i was able to sleep with my wife.
257276,she's dead fool.,she's dead man.
17823,it's a pity but that prisoner is as good as dead.,it's sad but the prisoner seems to be dead.
244967,hell ben if you don't want to take me maybe someone else will.,if you don't want to take me there might be someone else.
428822,they kept firing until we overpowered them and killed them.,they fired until we overwhelmed them and they didn't kill them.
312590,oh shut up tommy.,oh stop tommy.
248656,so we can move the fuck out of the way when a fridge come out of nowhere.,so we can get out of the way when a fridge falls into it.
486139,and a nazi!,and the nazi!
249785,shut up and sit down!,sit down and sit down!
568057,we'll cut them.,we'll cut it.
192906,stop being a wuss foreman.,stop squirming foreman!
239702,but before the blacks caught up the captain appeared before the standoff as he was leaving for the antelope hunt.,before the negroes reached him the captain appeared in front of the tent for he was starting on an antelope-hunt.
181344,it's just names. bullshit nothing concrete.,just names nonsense nothing specific.
326749,you're gonna bring my mother a heart attack.,you'll give my mother a heart attack. –yeah.
443428,say something dirty in french.,say the french something naughty.
419802,come on hit me!,come on get over me!
101256,if i had a nickel for every cigarette... your mom smoked i'd be dead.,having a nickel for every cigarette your mom smokes is over.
5175,that son of a bitch sold us out.,that puto sold us out.
508435,dhillon's only got five boys to choose his traitor from so we send in your boy blind or...,dhillon's got five guys he can find a traitor in so we're gonna send your boy over there and we won't tell him anything.
250672,i lied and cheated hollered the gambling and ran with whores.,i have lied and cheated... gambled and whored.
230665,'after it rains little brat 'collie entragian shot back.,“in your dreams brat ” collie entragian said.
562324,i warned your ass about errol didn't i?,i warned you about errol.
488703,"do it or we will hurt your little girl. ""","""you know do this or do that or we hurt your girl."""
81134,there is no honor working in that black hole.,there's no good feeling after work in that black hole.
535869,play dead.),make a dead man.)
361432,why don't you rob the queen?,what if you were stealing from the queen?
161884,a cock's nothing?,the bird is nothing?
143594,"""i laid george out because george is stupid.","""i sent george into limbo because george is a stiff."
91206,goddamn it! how could you do this to us?!,how could you do this to me?
515826,put him on the cross!,get him up on the cross!
54262,hit me.,fife me.
480745,so emily was an epileptic and a psychotic?,emily was epileptic and psychotic?
444147,it is what you do and you do the shit out of it.,that's what you do and you're good at it.
252724,the guy killed his own fuckin' brother right in front of me.,the guy killed his brother right in front of mine.
342307,alpha group says you're the biggest bunch of losers in college.,group alpha says that you are the sorriest collection of community college rejects...
340943,and as your slaves have died your rabble will die if only momentarily doubt your loyalty to this new order.,as those slaves have died so will your rabble ifthey falter one instant in loyalty to the new order of affairs.
185709,did you ever see such a cold-blooded son of a bitch?,have you ever seen such a cold-blooded knave?
180547,"ho ho thieves officers and thieves ho ho! ""","""ho ho for the robbers. the cops and the robbers ho ho!"""
134546,i think you do pig.,i think you do miss piggy.
309564,that bitch wouldn't give me the time of day because i wasn't an entertainer because i wasn't a star.,she didn't give me because i wasn't amused because i wasn't an ogre.
332490,"""burn me or release gentle marie.""","""set me on fire or set me free silky marie."""
404604,when i worked for the airline and fucked the pilot i could fly anywhere for free.,when i was working for the airlines and schtupping that pilot... ... i could fly anywhere for free.
475350,the one who's going to buy me flowers and dinner and he'll be looking at me for sex.,the kind of guy who will buy you flowers and dinner and look at you during sex.
333573,we're always spitting out their bits.,we always spit out the bits.
155884,what else they gonna do send us to viet-fucking-nam?,what else will they do before they send us to vietnam?
464881,shit they killed kenny!,oh my god you killed kenny!
243376,we bring him back here and we can hang a murder rap over his head.,if we can get him here we can throw him a murder charge.
77064,do you take me for an idiot?,do you think i'm crazy?
259823,big freaky-looking bitch.,big crazy-looking thing.
496326,he offers me something better than sex and much more fulfilling than power.,she offered something better than sex more fulfilling than power.
537236,"""you're like a loaded wire.","""you're a real live wire."
388828,they're from the chen clan they're all too cruel.,they are from chen's family all are fierce.
55666,she's gonna be dead before we get there.,by the time we get there she'll be dead.
111622,i don't want to kill you but i will if i have to.,i don't want to hurt you but i'll do it.
437850,what the hell is this?,what does that mean?
