,source,target
177549,yo buns what up nigga?,hey busi what's up?
77562,get that muck off your face!,wash it out of your face!
67877,oh shit.,oh hell no.
419715,goddamn what the hell are you doing?,what on earth are you doing?
376869,shut the door khan.,close the door khan.
248491,i'm going to die.,no! i am going to die.
370026,or were you always a useless nuisance?,"or were you simply a nuisance to them? """
346654,what the hell is going on?,what is going on in here?
406658,"""for only if his heart be utterly destroyed ""will a vampire die.""","only if his heart is destroyed the vampire is dying. """
222059,criminal rape of first grade.,first degree felony rape.
116715,i think sex with little girls is definitely bad.,okay i think that sleeping with little girls is definitely wrong.
452901,you're wearing the same shit from three years ago.,you're wearing the same clothes as three years ago.
519527,the one with the biggest tits.,the bird with the biggest tits.
440693,i couldn't make love to ms. octopussy tonight.,i couldn't make love today with miss osmip.
306708,the judge even threatened to hang me.,it was great. the judge almost let me hang.
318850,that's an angry irish dog.,oh yeah it's a wild irish dog.
436826,on his face he punched him in the shoulder with his fist.,dibbler punched him playfully on the shoulder.
18486,fucking miles of microfilm!,fifteen miles of microfilm!
456083,i'll do the shopping i take care of the children the food all the laundry everthing! and just as i start asking something you tell me to shut up!,i have to go shopping take care of the kids the laundry... and then you'll take me out?
470038,he killed them all!,he killed everyone!
174248,i want you to know who will kill you. and why you died.,i want you to know who killed you and why you died.
212006,jeannie don't fucking get all...,jeannie don't be...
18377,the one who tried to kill your wife.,the same person that tried to poison your wife.
415473,woman turns down my proposal i'm pretty fucking sure i'm not gonna stay friends with her.,if a woman refused my hand i'm pretty sure i wouldn't have stayed with her.
242761,flush it out god damn it!,flush the toilet for christ's sake!
183597,the first terrorist was going to detonate when we attacked him.,the first terrorist only tried to detonate once he was confronted.
561616,she shut up.,she went quiet.
385500,are you out of your frickin' mind?,have you lost your mind?
440659,this ain't no bar fight...... not even an idiot with a cannonball trying to burn a drunk.,this isn't some barroom brawl. or some creep with a gas can trying to torch someone.
254125,come on andy don't bullshit.,come on andy no way.
202970,kids skipped smart talking balls and just stuck my head in the toilet.,kids skipped the clever puns and just shoved my head down a toilet.
507747,it's time for you to give me back mama's boobies.,it's time to return my mom's trinkets.
226840,coco please you are a pussy.,coco please you're a faerie.
373715,it was difficult for rumfoord to take billy seriously since rumfoord had so long considered billy a repulsive non-person who would be much better off dead.,it had been difficult for rumfoord to take billy seriously when he had taken it so long as an unrepentant non-human who should have been long dead.
305703,jesus the hell you doin' here?,jesus where are you going?
242815,well if that entails supervising drunk morons then you and i have a lot more in common than i thought. ah.,well if it means taking care of the drunk ovens then we have more in common than i thought.
95706,hawk grinned at morgan and he shut up.,hawk grimaced at morgan and he fell silent immediately.
39890,mom raped my monkey.,mom violated the monkey.
37653,as it is i wouldn't dance with him for all of derbyshire let alone the miserable half.,i wouldn't dance with him even for derbyshire let alone half of them.
159112,just tell me what kind of shit's flying around.,just tell me what's going on!
474560,what the hell was that?,what the frell was that?
5831,you're a spy.,are you a spy?
456129,you know this dork?,you know this yahoo?
490155,you might be heading in the right direction colt but you're doing stupid things to get to your target.,you may be headed in the right direction colt but you're doing all the wrong things to get there.
564610,what the hell's that supposed to mean?,what was that supposed to mean?
577467,is it gay,it's not gay
475805,should i shoot him?,should i shoo him?
68939,and if your people busted up some shit in here i'd see to it that you'd pay damages as well.,and if your people do mess around i'll keep an eye out for you to pay for the damage.
449148,fuck the sale.,"""screw the sale."
487285,i knew emily would bring you here to do a dirty job for her.,i knew that emily would send you here to do her dirty work.
453155,but even the biggest coward whoever he is has a piece of russian soul one day he will wake up in them blow in his chest grab his head... and curse his miserable life wishing to redeem his soul to redeem his shame.,but in the last padlyuki what he does is and he that brattsy there is a scintilla russian feelings. and it will wake up one day and hit it hapless by hands on the floor grabbed a his head ... cursed loudly scoundrelly his life ready to redeem the spirit ready to torment redeem a shameful matter.
481631,i told him to shut up.,i told him to be quiet.
158742,don't apologize. - fuck.,don't be sorry.
30865,ah damn it.,bloody hell.
53199,i only should have hit you in the back technically speaking.,technically only supposed to strike you in the pate.
515585,nick what the hell is going on?,hey nick what the hel's going on?
72628,jenny had never seen a more ridiculous costume.,jenny has never seen a more funny mask.
158894,kicks our asses and steals all the coke.,he stole all of our coke!
334925,my rank... my rank... is go to hell.,my rank... is the hell out of it.
358226,i'm not some cool story at a yuppie fucking cocktail party.,i'm not one of those bad stories about a cocktail party of rich people.
178928,'i ain't dat fick sir.','i'm not so honored sir.'
420826,i don't like you calling yourself a freak.,i don't like you calling yourself a monster.
475181,but... but you didn't deserve to kill him peter.,you didn't deserve to be killed peter.
485982,stubborn.,stubborn kid.
308778,the males are particularly fat at this time of year.,the males are partially fed at this time of year.
167309,you have to shoot first.,you'll have to hit that one first.
479825,if i bumped into him i'd probably be dead or ended up in a permanent coma just a vegetable with his feet.,had i struck that i likely would have been killed or rendered permanently comatose a vegetable with legs.
325257,just when i thought today couldn't get any fucking freakier.,just when i thought today couldn't be any weirder.
293082,the people who hired him probably figured it was safer to kill him before he took the risk...... of a sudden seizure of a conscience when he would have ratted them out.,well the people who hired him probably figured it was safer to kill him than run the risk of having an attack of conscience and rat them out.
75532,but that was enough to make me jealous like a pig.,but that was more than enough to make me jealous like hell
74416,so you can prescribe this shit for me legal?,would you like to prescribe the weed legally?
371801,shit man. are you ok?,oh my god. are you okay?
517763,we will exterminate the illness that infected germany for the last twenty years,we will eradicate the destruction that has infuriated germany in the last twenty years.
514697,the newspaper reprinted it with a black square that covered graham's genitals.,the paper ran it retouched with a black square covering graham's groin.
145087,good shit man.,good stuff man.
272021,i heard you call it three times to shoot from those guns.,hear you tell it you told the man three times to fire that
559631,this child is docile to the point of being a fool... if he hit you he definitely would have had a reason.,the boy is good and if he hit you he would surely have had a reason.
530524,i'll delete all your data!,i'll erase all your data in no time!
341231,the rat with the human face.,a rat with a human face.
190457,why are you fucking bud white?,why do you sleep with bud white?
438530,woah... you swindler!,wow... you trickster!
177778,he knew that if marcus died he would take them all to his grave.,he was warned if markus should ever be killed all those in his blood line would follow him to the grave
303030,a life i will deprive you of just like i did your father.,in my life i will prepare you like your father.
450835,they're crazy!,they've gone mad!
35912,human incompetence.,other people's incompetence.
128566,and they all have a great deal of heroin in their bodies.,and they all had large amounts of heroin in their systems.
125731,if he wanted her dead why not leave her in the fire?,why did he risk why he didn't let her fry in the fire?
504270,the horrified karis screamed to keep it but the cunts blinded their desire for blood and hatred so they kept firing.,horrified karis shouted for the killing to stop but blood-lust and hatred were high now and the crossbow-men continued to shoot.
511510,you know this whole thing is starting to stink.,you know this whole thing is starting to smell a little bit weird to me.
533081,your minds are so imperfect i can read you in my sleep.,i could read such unsophisticated minds in my sleep.
884,they will not stop until they fucking destroy you.,they don't stop until they destroy you.
365737,we don't mix whites and blacks not even in the prisons.,we don't mix white and black not even in jail.
288479,'damned? 'said the little warrior.,aw right? shouted the tiny fighter.
31177,i'll convince you to shoot in vancouver.,by convincing you to shoot in vancouver.
302437,i will stay here and face my death.,i'm staying and i'm not running from death.
517242,insolid insipid it spat out the foul-tasting flesh of joel jones.,and without an elf he spat out joel jones's foul-smelling meat.
251321,and i'm going to die.,and i'll be dying.
437525,i swear to god if fruit stripe just kept its damn flavor a little bit longer i wouldn't be in this mess.,i swear to god if hubabub lost his appetite a little later i didn't have to be in this mess.
312095,who had the balls to kill cullen?,who you think had the stones to kill cullen?
291139,they're horny.,they're hot.
576556,there's pussy finger.,then there's fingers.
208831,women are like leprosy.,women. lepers.
507137,and i'm going to wear pink taft because the pig is not going to my skin.,and i shall be wearing pink taffeta as chenille will not go with my complexion.
497426,but i hate your friends.,i just can't stand your friends.
135302,you're a bloody marvel bernie.,you're a miracle bernie.
150484,dammit! it's not gonna work.,this is not going to work.
412552,you have rich white lady guilt.,you blame the white lady.
50788,you're dead!,you died!
132468,the ira barden certainly wasn't a fool.,ira barden was no fool.
267517,stay out of my fucking way.,get out of my way.
405185,get the hell off me.,get away from me.
462807,though it’s none of your goddam business.”,"even if it's none of your business. """
572556,you kill yourselves for nothing for scraps.,you're killing yourself for nothing 'cause of any kind of waste.
144954,i love that you're not like the kind of girls that have to celebrate the slightest bullshit.,i love that you're not the kind of girl who needs to celebrate every little thing.
315493,yes because you wouldn't want to choke on your gum before you hang.,yeah 'cause you wouldn't want to choke on your gum before you strangle yourself to death.
197310,who can't kill his father.,a man who can't kill his papa.
87697,the second disaster was the inept un- or undertrained tahn weaponeers.,the second disaster was the failure or inexperience of the tahn gunmen.
169086,now i feel like i'm in a stupid soap opera.,we caught up in this like it's a soap opera.
329404,"""another mezzanine stupidity.""",'another mezla folly!'
492177,get your fucking hands off me.,get your hand off me i can do this myself.
509494,you have a perfect house your mom is a cat your dad is hot.,your house is perfect your mom's a babe your dad's hot.
157041,"""i mean you're all religious nuts right?","""i mean you're going to give a lot of religion aren't you?"
182457,not like your incompetent cousins and cousins smoking cigarettes in a mall parking lot.,it's not like your-- your shiftless cousins who are smoking cloves in the mall parking lot.
194523,a broken-down old warhorse but he can beat your brains out.,you're an old veteran but he can keep your mind off you.
26903,stop being so lazy.,don't be lazy.
107084,if i hear your answering machine message one more time i’ll scream.”,"if i have to hear your answer machine one more time i'm gonna start screaming. """
41568,you don't wanna get hanged.,you don't want to be hanged.
180555,"""stevie wonder sees more shit than you do!""",stevie wonder sees more than you!
490133,well you have the cops on the lawn and your mom is pointing your butt through the window.,well you got cops on the lawn and your mom's mooning them through the window.
308583,get off get off me!,let go of me!
496622,throwing his arms round both of hers he gathered her together like the fat sack she was and lifted her clean off her feet.,he put her arms around her like a fat bag and lifted her up so she didn't touch the ground floor.
23537,oh shit. okay.,all right yeah.
172117,you can keep the puppet.,you can keep the doll.
501867,you'il have to rip it out of my fucking talons.,you're gonna have to rip it out of my claws.
126028,carlos... when you were at your cousin's funeral in valparaiso i had sex with cynthia.,carlos... when you were at my cousin's funeral in valparis i slept with cynthia.
163235,there's a family somewhere out there that's about to find themselves in a serious fucking shit storm.,there's a family out there who will soon be in serious trouble.
469124,you know you know all about how he'll take his first shot.,you know you can tell everything about a fighter from how they take the first shot.
372874,let him destroy you.,have him. let him ruin you.
383687,white always has the edge of attack.,the white ones have the benefit of the offensive.
440757,shut up nipper.,hush nipper hush.
409544,that way i dont have to kill an unarmed couple.,at least i don't have to kill unarmed.
545075,mom says you're leaving and you love edith and you screwed her.,mom says you're leaving and you love edith and you're taking her to the water.
76817,now shut up here he comes.),but now quietly here it comes.)
379446,"and i thought ""oh my god. dick left already.""","i thought ""oh my god dick's gone."""
33828,shag who the fuck you want to shag but don't fuck up your whole family... and her family back home.,you know what you want but you don't destroy an entire family including her family.
337792,everyone was happy when you were in the pig.,everybody was happy when you were in the wind.
427407,jantar's too fat.,the amber's too thick.
285272,no shit? you know how he makes his money?,you know what he's got the money from?
201059,righteous i'm getting horny.,i'm getting really horny.
204966,i pulled out a couple of pieces of wood and put them against the wall and shoved the knife into them shooting it with icing.,i took out a few pieces of wood then and set them against the wall and plunged the knife into them several times alternating strokes.
429887,i guarantee we will turn your life inside ...,i guarantee you we'll turn your life around.
462780,and we both know the punishment for this crime is death!,and you and i both know that the penalty for that crime is death.
347390,if he doesn't deserve an autopsy i don't know what the hell he's doing.,if it didn't deserve a toast i don't know what the hell does.
450992,"""i don't dare take the life of your rusty sons for nothing.","""i dare not risk the life of one of your illustrious sons foolishly."
368091,to hell?,hell?
301150,the stale smell ofa cheated woman!,faint scent of cheating women.
30337,"said it was stupid for a young woman to tie herself to a man with one foot in the grave.""","he kept saying it was absurd for a young woman to cling on to a man who is one foot in the grave. """
444273,t ell me these gypsies did they curse her as well?,tell me the gypsies... they cursed her too?
542213,knock him out!,finish him!
161798,i have learned that mortality is breathing down your neck and you are running from the future like a scared old chicken.,i found out that you feel death breathing on your back and you're fleeing like a fearful chicken in front of the future.
175731,look i put up with this shit every month.,look it's the same every month.
398058,oh god please get rid of her and i'll promise you that i won't come near her again.,please god take the consumption away and i promise i'll never go near her again.
456971,those commies are fibber.,these commies are brilliant.
262916,we're not fucked.,we're not screwed.
190949,you'll find the key and lock him up for fuck's sake.,find the key and lock it the hell up.
530125,right now i wish i was dead.,right now i'm kinda wishing i had.
18009,what it is is none of your damn business.,it's none of your business.
74990,once this deed is done we will eliminate the man.,when the act is done we will remove the man.
88171,"""i'm not trying to shit you.","""i don't want to humiliate you."
569755,but what if you know what i'm gonna record it and the damn thing's fucking off?,but what if i'm you know recording her and the machine beeps?
141307,the truth is offler is a crocodile.,of course offler's a crocodile.
546706,i'm not a fool you're making a big mistake.,i'm not the dummy you're the one making the huge mistake.
270768,you know maybe it is all in my head but you're in it now virgil up to your fucking neck!,you know maybe it's all in my head but you're all over it virgil!
28104,nobody's that dumb ryan wanted to retort but simon was probably right.,there was no one ryan but simon was probably right.
64223,shit oh... you... you made me so happy.,you made me very happy dear odette.
348421,my god picard the place is a bloody deathtrap!,for god's sake picard this place is a death trap.
296704,come on just for a little... fuck!,come on just for a little...
502828,if the journalists knew what we were talking about they would have thought we were fools.,if the papers knew we were talkin' like this they'd think we was crazy.
6599,it was above all her pride - wounded angry arrogant proud hubris.,mostly it had been pride-wounded outraged throbbing swollen malignant pride.
36182,"the nurse wasn't going to argue but then he looked at rhyme's face and though he probably saw the anger in her and the ""don't fuck with me "" which didn't really pay for him he caught a glimpse of genuine concern about the possible next victim on kejkar's list.",the aide was going to argue but then he glanced at rhyme's face and while he probably saw anger and don't-fuck-with-me eyes which wouldn't have affected him one bit he observed too the criminalist's heartfelt concern for the next victims on the conjurer's list.
308785,that was a friend of morel's heart but mrs. morel was nasty.,jerry was morel's bosom friend and mrs. morel disliked him.
192426,we'll take him home to be buried in the land of the cossacks.,we will take him home. -to be buried on cossack soil.
259538,"""go back to your evil wizard!","""return to your black-robed wizard!"
288010,don't fall in the river and someone mistake you for a fucking floating turd.,don't fall in the river someone might mistake you for a floating turd.
158219,you fucked my life super fun.,you make my life so right super fun time
183841,i don't know the fucking number!,i don't know the number!
467623,the red-haired killer released kelly's throat and spun around in a movement as quick as a cat's.,the red-haired assassin immediately released kelly's neck and in a flash like a cat turned.
287589,people think they're forever that there is always tomorrow. that's bullshit.,people think they'll be here forever but that's nonsense.
68759,i don't fucking understand why you can't be happy... ...for your best friend. he finally found a woman who loves him.,i don't understand you're not happy when your best friend finally finds a woman who loves him.
472041,che they're shooting mortars!,they're shooting mortars!
389891,"""the alliance we have there bell... will redouble our efforts to find and exterminate us.""","""this alliance we sense there bell they would redouble their efforts to find and obliterate us."""
231261,i guess i could destroyone or two of them.,i think he can cut one or two.
359289,the big kitchen the big kitchen three meals a day and his own place on the fire he's a buffoon but we all like him and so on.,laughing kids big kitchen three meals a day humorous cat next door to chase own blanket and spot by the fire he's an old softy but we love him ekcetra.
362466,and i want to kill.,i'm in a killing mood.
212430,he's saying something something my crazy girl something drinking more beer.,it goes s omethin' somethin' somethin' crazy girlfriend. somethin' somethin' drink lots of beer.
171266,anyone who would want to live here must have sawdust in the head.',"anybody who lives here would have to have rocks in his head."""
112857,"""the prostitutes never care about a dwindling nation ""","""prostitutes never care about a falling nation """
114690,shut up. they'll know what you did.,they'll know what you've done.
169549,i've had many days in my life in which if i lived there and then i'd have to shoot my head off.,there are plenty of days when if all i had to live for was the there and then i woulda blown my own head off.
207550,she was born the daughter of your slave.,she's your slave's daughter.
37184,look i may have minor flaws...... but i'm not planning on making a prostitute in latin america.,look i may have my tiny faults... ...but i'm really not planning to white slave her to latin america. whose room is this anyhow?
406186,your mother kicked the bucket...,your mother put on slippers...
10488,they're just fucking with us.,they're playing with us.
31572,goddamn you alright?,oh my god are you okay?
15515,in your paranoid mind nobody can be trusted.,according to your paranoid mind you can't trust anyone.
407600,get the fuck off my porch.,get off my porch!
510686,we had sex last night.,we loved each other last night.
20060,you've no idea who you're dealing with. so fucking enlighten me because right now you are dealing with me.,you have no idea who you're dealing with so tell me because i'm doing business with you.
305179,they're full of gauls.,it's full of gauls!
99252,how do you know that this is not going to come back and bite you in the ass?,how do you know this isn't going to come back?
384061,shut up. - easy.,easy. easy.
339922,lonigan's gone and you two'll be next if you don't get off them damn horses.,it's over with lonigan and now you two don't get off the horses.
372045,she had sex with him.,she slept with him.
184807,i'm sorry to kill my uncle.,sorry for almostgetting your uncle killed.
461216,i get it i just find it bizarre that you don't have any kind of shit list.,i just think it's bizarre that you don't have a list.
190694,bastard why did you frame us?,punk why don't you put that on us?
317374,listen you piece of junk europe is the union of nations devoted to one goal.,listen humble vessel europe is a community of nations dedicated towards one goal.
574651,so you slept with a hooker by accident.,so you slept with a gigolo by mistake.
437767,but i don't know who these maniacs are... and where they come from.,but i don't know what these freaks are and where they come from.
251263,you know if this was a horror they would have killed us first when we split up like this.,you know if this were a horror movie we'd be the first ones killed splitting off like this.
440423,"""no? he mocked the sardonically voice of the cynic.",oh no? the voice of the cynic whispered sardonically.
137156,i know it's probably a stupid risk but it's something.,now i know it is probably a sucker's bet but it's something.
45986,you preserve your dignity and die standing and they'll sing songs about you.,you keep your dignity and you die standing up and they're going to sing songs about you.
513346,he was a faggot but when he got his job he was there.,he was a real tight-ass but when it came to the job he was right on.
197986,you break letty's heart i'm coming for your mom. fuck!,you break letty's heart and i'll go see your mom.
403638,clumsy.,very clumsy.
249871,he looked like an old man who wanted to die to get rid of the pain.,his expression was that of an old man willing to die if only to remove the pain.
129291,i stabbed myself with a fork in my thigh to play it better.,i jammed a fork into my thigh to create a sense memory.
223217,when black death came to the valley - people thought it was dagmars error. she would have thrown a curse on the village.,"when ""black death"" came to the valley... people thought it was dagmar... that as she brought the curse to the village."
167418,i feel like i was raped when the thing was in me.,i just feel so violated by the fact that thing was inside me.
386818,it's your fault that we lost the plane that riley's dead.,know what it's your fault we lost the shuttle that riley's dead.
290561,and who the fuck gave you the right to decide for us?,who gave you the right to decide us?
426126,we're gonna get burned alive.,we're gonna be baked alive in here.
311643,i don't want you to think men routinely touch my tits.,i'd hate for you to think that i go around putting men's hands on my breast.
203550,maybe i'm just a spoilsport but dad is dead and this isn't funny anymore and you little brother need to grow the fuck up.,maybe i'm spoiling you for fun but my dad's dead and this isn't really fun.
27123,let's say that we start passing out assorted fairy-tales - this story to some pick-pocket another to some beggar or whore.,let's say we start releasing suitably edited fairy tales - one story of a pickpocket another beggar or whore.
70485,fuck you!,oh hell!
140874,if i go back those indians will part my hair down to my toes.,when i get back the indians will take my hair off my feet.
325710,"""i don't follow you afanasy ivanovitch; you are losing your head.","""i don't understand you afanasi ivanovic you're really sounding kind of confused."
322289,i'll kill him.,this is killing me.
237245,now for the second part: if you pull your hand out of the box you die.,if you withdraw your hand from the box you die.
504181,and i want to kiss you but there's a fence between us.,and i would kiss you but for this barrier between us.
79053,elijah! thought i and we walked away both commenting after each other's fashion upon this ragged old sailor; and agreed that he was nothing but a humbug trying to be a bugbear.,elias! i thought and we moved away judging each other each of their own too an old ragged sailor; we agreed that it was a fatality that would frighten other people.
325691,what the fuck is he doing?,but what does he do about it?
73816,silly bridget.,naive bridget.
453041,and that man come up on the high range where i was workin and i believe he intended to kill me.,and this guy came up to the mountains where i was doing and he probably tried to kill me.
54612,then i can shoot the deer.,i could go deer huntin'.
239952,mr o'rourke made a full statement to strike force tuno claiming you made several approaches to him in the weeks prior to terry falconer's murder to discuss the disposal of the body. well he's a bloody liar.,mr o'rourke made a full statement for the special commission where he claims to have contacted him before the murder of terry falconer with the aim of discussing the disposal of the body.
74025,i told you don't touch my fucking stuff!,i've told you get your hands off my stuff!
474959,get the hell out of here!,get out of here!
434135,"and then charlene came in my new car and brought you home after first ""bitchslapping"" him.",and then charlene came in my new car... and took you home after he... duly posted it.
404656,get your ass back here!,come back at once!
545400,he wasn't going to bullshit a four-year-old.,he didn't want to fool a four-year-old.
119059,and i don't think anyone would want to kill him.,i can't fathom anyone wanting to kill noah.
107941,they said the world was gonna end and that i was a sinner who was going to burn to death... unless i do what they say.,they said it would be the end of the world and that i was a sinner to be burned... unless i did what they would say.
566674,you want a shot?,you want to get high?
529439,idolators each and every one of them; they bow to the cult of mary.,worshippers of a model all into one; they bow to the cult of mary.
11613,she'll be dead in a few seconds anyway.,she would be dead in seconds.
486294,without rations they'll be dead in a few days.,without rations they're gonna be dead in a matter of days.
424252,jackie hope you didn't come here to make love to me.,jackie i hope you didn't come to love me.
369907,his buddies either don't know or they don't give a shit.,his pals they either don't know or just don't care.
416773,"""two days and you'll have me from your neck.""","""two days i'll be out of your hair."""
